FIPS,Year,State,ST,FIPS State,County,Population,"Estimated Age-adjusted Death Rate, 16 Categories (in ranges)"
01001,2015,Alabama,AL,1,"Autauga County, AL",55347,10.1-12
01001,2002,Alabama,AL,1,"Autauga County, AL",45909,4.1-6
01001,1999,Alabama,AL,1,"Autauga County, AL",42963,2.1-4
01001,2007,Alabama,AL,1,"Autauga County, AL",52405,6.1-8
01001,2010,Alabama,AL,1,"Autauga County, AL",54660,8.1-10
01001,2014,Alabama,AL,1,"Autauga County, AL",55290,10.1-12
01001,2008,Alabama,AL,1,"Autauga County, AL",53277,6.1-8
01001,2000,Alabama,AL,1,"Autauga County, AL",44021,4.1-6
01001,2001,Alabama,AL,1,"Autauga County, AL",44889,4.1-6
01001,2009,Alabama,AL,1,"Autauga County, AL",54135,6.1-8
01001,2003,Alabama,AL,1,"Autauga County, AL",46800,4.1-6
01001,2004,Alabama,AL,1,"Autauga County, AL",48366,4.1-6
01001,2012,Alabama,AL,1,"Autauga County, AL",55175,8.1-10
01001,2005,Alabama,AL,1,"Autauga County, AL",49676,4.1-6
01001,2006,Alabama,AL,1,"Autauga County, AL",51328,6.1-8
01001,2013,Alabama,AL,1,"Autauga County, AL",55038,8.1-10
01001,2011,Alabama,AL,1,"Autauga County, AL",55253,8.1-10
01003,2009,Alabama,AL,1,"Baldwin County, AL",179406,14.1-16
01003,2013,Alabama,AL,1,"Baldwin County, AL",195126,18.1-20
01003,2003,Alabama,AL,1,"Baldwin County, AL",151509,8.1-10
01003,2005,Alabama,AL,1,"Baldwin County, AL",162183,10.1-12
01003,2002,Alabama,AL,1,"Baldwin County, AL",147957,8.1-10
01003,2014,Alabama,AL,1,"Baldwin County, AL",199713,18.1-20
01003,2000,Alabama,AL,1,"Baldwin County, AL",141342,8.1-10
01003,2015,Alabama,AL,1,"Baldwin County, AL",203709,20.1-22
01003,1999,Alabama,AL,1,"Baldwin County, AL",137555,6.1-8
01003,2006,Alabama,AL,1,"Baldwin County, AL",168121,10.1-12
01003,2007,Alabama,AL,1,"Baldwin County, AL",172404,12.1-14
01003,2012,Alabama,AL,1,"Baldwin County, AL",190396,16.1-18
01003,2001,Alabama,AL,1,"Baldwin County, AL",144875,8.1-10
01003,2008,Alabama,AL,1,"Baldwin County, AL",175827,12.1-14
01003,2011,Alabama,AL,1,"Baldwin County, AL",186659,16.1-18
01003,2010,Alabama,AL,1,"Baldwin County, AL",183193,14.1-16
01003,2004,Alabama,AL,1,"Baldwin County, AL",156266,10.1-12
01005,2001,Alabama,AL,1,"Barbour County, AL",28863,0-2
01005,2008,Alabama,AL,1,"Barbour County, AL",27808,2.1-4
01005,1999,Alabama,AL,1,"Barbour County, AL",28866,0-2
01005,2000,Alabama,AL,1,"Barbour County, AL",29015,0-2
01005,2011,Alabama,AL,1,"Barbour County, AL",27226,4.1-6
01005,2007,Alabama,AL,1,"Barbour County, AL",27757,2.1-4
01005,2002,Alabama,AL,1,"Barbour County, AL",28653,0-2
01005,2005,Alabama,AL,1,"Barbour County, AL",28027,2.1-4
01005,2003,Alabama,AL,1,"Barbour County, AL",28594,2.1-4
01005,2015,Alabama,AL,1,"Barbour County, AL",26489,6.1-8
01005,2014,Alabama,AL,1,"Barbour County, AL",26815,6.1-8
01005,2006,Alabama,AL,1,"Barbour County, AL",27861,2.1-4
01005,2013,Alabama,AL,1,"Barbour County, AL",26973,4.1-6
01005,2012,Alabama,AL,1,"Barbour County, AL",27159,4.1-6
